id,smiles,formula,charge
cpd03256,C[C@]12C[C@H](O)[C@H]3[C@@H](CC[C@@H]4CC(=O)CC[C@]34C)[C@@H]1CC[C@@H]2C(=O)CO,C21H32O4,0
cpd03257,C[C@]12C[C@H](O)[C@H]3[C@@H](CC[C@@H]4C[C@H](O)CC[C@]34C)[C@@H]1CC[C@@H]2C(=O)CO,C21H34O4,0
cpd03258,C[C@]12CC(=O)[C@H]3[C@@H](CCC4CC(=O)CC[C@@]43C)[C@@H]1CCC2C(=O)CO,C21H30O4,0
cpd03259,CC12CC(=O)C3C(CCC4C[C@H](O)CCC43C)C1CCC2C(=O)CO,C21H32O4,0
cpd03260,CC(=O)[C@H]1CC[C@H]2[C@@H]3CC[C@@H]4CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C,C21H32O2,0
cpd03261,CC(=O)[C@H]1CC[C@H]2[C@@H]3CC[C@@H]4C[C@H](O)CC[C@]4(C)[C@H]3CC[C@]12C,C21H34O2,0
cpd03262,CC12CC[C@@H](O)CC1CCC1C2C(=O)CC2(C)C1CC[C@]2(O)C(O)CO,C21H34O5,0
cpd03263,CC12CC[C@@H](O)CC1CCC1C2C(O)CC2(C)C1CC[C@]2(O)C(O)CO,C21H36O5,0
cpd03264,CC12CC(=O)C3C(CCC4C[C@H](O)CCC43C)C1CCC2C(O)CO,C21H34O4,0
cpd03265,C[C@H](O)[C@H]1CC[C@H]2[C@@H]3CC[C@@H]4C[C@H](O)CC[C@]4(C)[C@H]3CC[C@]12C,C21H36O2,0
cpd03266,C[C@]12CC[C@H]3[C@@H](CC=C4CC(O)CC[C@@]43C)[C@@H]1CC[C@@H]2C(=O)CO,C21H32O3,0
cpd03267,C[C@]12CC[C@H]3[C@@H](CC=C4C[C@@H](O)CC[C@@]43C)[C@@H]1CC[C@]2(O)C(=O)CO,C21H32O4,0
cpd03268,C[C@]12CC[C@H]3[C@@H](CCC4=CC(=O)CC[C@@]43C)[C@@H]1CC[C@]2(O)C(=O)CO,C21H30O4,0
cpd03269,C[C@]12C[C@H](O)[C@H]3[C@@H](CC=C4C[C@@H](O)CC[C@@]43C)[C@@H]1CC[C@]2(O)C(=O)CO,C21H32O5,0
cpd03270,CC12CCC(=O)C=C1CCC1C2C(=O)CC2(C)C(C(=O)CO)CCC12,C21H28O4,0
cpd03271,CC(=O)[C@@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3[C@@H](O)C[C@@]21C,C21H30O4,0
cpd03272,CC(=O)[C@H]1CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3[C@@H](O)C[C@]12C,C21H30O3,0
cpd03273,CC(C)CCC[C@](C)(O)[C@@]1(O)CC[C@H]2[C@@H]3CC=C4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@@]21C,C27H46O3,0
cpd03274,CC(C)CCCC(C)(O)[C@H]1CC[C@H]2[C@@H]3CC=C4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@@]21C,C27H46O2,0
cpd03275,CC(C)CC[C@@H](O)[C@](C)(O)[C@H]1CC[C@H]2[C@@H]3CC=C4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@@]21C,C27H46O3,0
cpd03276,CC(C)CC[C@@H](O)[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CC=C4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@@]21C,C27H46O2,0
cpd03277,C[C@]12CC[C@@H]3c4ccc(O[C@@H]5O[C@H](C(=O)[O-])[C@@H](O)[C@H](O)[C@H]5O)cc4CC[C@H]3[C@@H]1CC[C@@H]2O,C24H31O8,-1
cpd03278,C[C@]12CC[C@@H]3c4ccc(O)cc4CC[C@H]3[C@@H]1C[C@@H](O[C@@H]1O[C@H](C(=O)[O-])[C@@H](O)[C@H](O)[C@H]1O)[C@@H]2O,C24H31O9,-1
cpd03279,O=c1[nH]cnc2c1ncn2[C@H]1C[C@H](O)[C@@H](CO)O1,C10H12N4O4,0
cpd03280,NC(=O)Nc1nc[nH]c1C(=O)[O-],C5H5N4O3,-1
cpd03281,Nc1[nH+]c[nH]c1C(=O)[O-],C4H5N3O2,0
cpd03282,C[C@H](O)[C@H]([NH3+])C(=O)[O-],C4H9NO3,0
cpd03283,[NH3+]C(C(=O)[O-])C(=O)CCC(=O)[O-],C6H8NO5,-1
cpd03284,O=C([O-])C(=O)CS(=O)[O-],C3H2O5S,-2
cpd03285,O=C([O-])C(=O)CS(=O)(=O)[O-],C3H2O6S,-2
cpd03287,O=C([O-])CCC(C(=O)[O-])C(=O)C(=O)[O-],C7H5O7,-3
cpd03288,O=C([O-])CCC(=O)NC(CCCC(=O)C(=O)[O-])C(=O)[O-],C11H12NO8,-3
cpd03289,CC(=O)N[C@@H](CCCC(=O)C(=O)[O-])C(=O)[O-],C9H11NO6,-2
cpd03290,*NC(=O)[C@H](CC[C@H](C[NH3+])O[C@@H]1O[C@H](CO)[C@H](O)[C@H](O)[C@H]1O)NC(*)=O,C13H24N3O8R2,1
cpd03291,CC(=O)NCCCCC(=O)C(=O)[O-],C8H12NO4,-1
cpd03292,CC1(C)S[C@@H]2[C@H](NC(=O)Cc3ccccc3)C(=O)N2[C@H]1C(=O)[O-],C16H17N2O4S,-1
cpd03293,[NH3+][C@@H](CCCCNC(=O)CCCC[C@@H]1SCC2NC(=O)NC21)C(=O)[O-],C16H28N4O4S,0
cpd03294,CC(=O)N(O)CCCC[C@H](NC(=O)CC(O)(CC(=O)N[C@@H](CCCCN(O)C(C)=O)C(=O)[O-])C(=O)[O-])C(=O)[O-],C22H33N4O13,-3
cpd03295,CC(C)[C@@H](NC(=O)[C@H](C[S-])NC(=O)CCC[C@H]([NH3+])C(=O)[O-])C(=O)[O-],C14H23N3O6S,-2
cpd03296,CC1(C)S[C@@H]2[C@H](NC(=O)CCC[C@H]([NH3+])C(=O)[O-])C(=O)N2[C@H]1C(=O)[O-],C14H20N3O6S,-1
cpd03297,Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)([O-])OC(=O)CCC[C@H]([NH3+])C(=O)[O-])[C@@H](O)[C@H]1O,C16H22N6O10P,-1
cpd03298,OCc1c[nH]cn1,C4H6N2O,0
cpd03299,O=C([O-])CCC1NC(=O)NC1=O,C6H7N2O4,-1
cpd03300,O=C([O-])C(O)Cc1c[nH]cn1,C6H7N2O3,-1
cpd03301,C[N+](C)(C)[C@@H](Cc1c[nH]c(=S)[nH]1)C(=O)[O-],C9H15N3O2S,0
cpd03302,O=C([O-])/C=C/c1c[nH]c(=S)[nH]1,C6H5N2O2S,-1
cpd03303,NC(=O)C(=O)CCC(=O)[O-],C5H6NO4,-1
cpd03304,[NH3+]C(CC(=O)[O-])CC(=O)[O-],C5H8NO4,-1
cpd03305,C[N+](C)(C)[C@@H](Cc1c[nH]cn1)C(=O)[O-],C9H15N3O2,0
cpd03306,OCC(O)c1ccc(O)c(O)c1,C8H10O4,0
cpd03307,O=C[C@H](O)c1ccc(O)c(O)c1,C8H8O4,0
cpd03308,Oc1cc2cc[nH]c2cc1O,C8H7NO2,0
cpd03309,O=C1C=c2cc[nH]c2=CC1=O,C8H5NO2,0
cpd03310,O=C([O-])[C@H](O)c1ccc(O)c(O)c1,C8H7O5,-1
cpd03311,COc1cc(CC=O)ccc1O,C9H10O3,0
cpd03312,COc1cc(CC(=O)[O-])ccc1O,C9H9O4,-1
cpd03313,COc1cc([C@@H](O)C=O)ccc1O,C9H10O4,0
cpd03314,COc1cc([C@@H](O)C(=O)[O-])ccc1O,C9H9O5,-1
cpd03315,O=Cc1cc(O)ccc1O,C7H6O3,0
cpd03316,COc1cc(CC[NH3+])ccc1O,C9H14NO2,1
cpd03317,C[NH2+]C[C@H](O)c1ccc(O)c(OC)c1,C10H16NO3,1
cpd03318,COc1cc([C@@H](O)C[NH3+])ccc1O,C9H14NO3,1
cpd03319,O=C([O-])/C=C/C(=C/C(=O)[O-])CC(=O)[O-],C8H5O6,-3
cpd03320,O=C([O-])Cc1cccc(O)c1,C8H7O3,-1
cpd03321,COc1cc([C@@H](O)CO)ccc1O,C9H12O4,0
cpd03322,O=C([O-])CCC(NC(=O)Cc1ccc(O)cc1)C(=O)[O-],C13H13NO6,-2
cpd03323,O=C([O-])CNC(=O)Cc1ccc(O)cc1,C10H10NO4,-1
cpd03325,O=C([O-])CNC(=O)Cc1ccccc1,C10H10NO3,-1
cpd03326,O=C([O-])C/C=C\CC(=O)C(=O)[O-],C7H6O5,-2
cpd03327,O=C([O-])CC[C@H](O)CC(=O)C(=O)[O-],C7H8O6,-2
cpd03330,O=C([O-])[C@@H]1Cc2cc(O)c(O)cc2N1,C9H8NO4,-1
cpd03331,O=C([O-])[C@H](O)Cc1ccccc1,C9H9O3,-1
cpd03332,O=C/C=C/c1ccc(O)cc1,C9H8O2,0
cpd03333,COc1cc(/C=C/C=O)cc(OC)c1O,C11H12O4,0
cpd03335,COc1cc(C(=O)[O-])cc(O)c1O,C8H7O5,-1
cpd03336,Oc1cccc(Cl)c1O,C6H5ClO2,0
cpd03337,COc1cc(/C=C/C(=O)[O-])cc(O)c1O,C10H9O5,-1
cpd03338,CC(=O)N[C@H](Cc1ccccc1)C(=O)[O-],C11H12NO3,-1
cpd03339,O=C([O-])CC(=O)OC[C@H]1O[C@@H](Oc2cc(O)c3c(=O)cc(-c4ccc(O)cc4)oc3c2)[C@H](O[C@@H]2OC[C@](O)(CO)[C@H]2O)[C@@H](O)[C@@H]1O,C29H29O17,-1
cpd03340,O=c1c(O[C@@H]2O[C@H]([C@H](O)CO)[C@H](O)[C@H]2O)c(-c2ccc(O)c(O)c2)oc2cc(O)cc(O)c12,C21H20O12,0
cpd03341,C[C@@H]1O[C@@H](OC[C@H]2O[C@@H](Oc3c(-c4ccc(O)c(O)c4)oc4cc(O)cc(O)c4c3=O)[C@H](O)[C@@H](O)[C@@H]2O)[C@H](O)[C@H](O)[C@H]1O,C27H30O16,0
cpd03342,C=Cc1ccc(O)cc1,C8H8O,0
cpd03343,O=C([O-])CCc1ccccc1,C9H9O2,-1
cpd03344,O=C1C[C@@H](c2ccc(O)c(O)c2)Oc2cc(O)cc(O)c21,C15H12O6,0
cpd03345,O=CCc1c[nH]c2ccc(O)cc12,C10H9NO2,0
cpd03346,O=C([O-])Cc1c[nH]c2ccc(O)cc12,C10H8NO3,-1
cpd03347,Nc1c(O)cccc1C(=O)CC[NH3+],C9H13N2O2,1
cpd03348,O=c1cc[nH]c2c(O)cccc12,C9H7NO2,0
cpd03349,Nc1ccc(O)cc1C(=O)CC[NH3+],C9H13N2O2,1
cpd03350,O=c1cc[nH]c2ccc(O)cc12,C9H7NO2,0
cpd03351,Nc1c(C(=O)[O-])c2nc3c(C(=O)[O-])cccc3oc-2cc1=O,C14H6N2O6,-2
cpd03353,COc1ccc(NC=O)c(C(=O)CCNC(C)=O)c1,C13H16N2O4,0
cpd03354,COc1cc2c(CCNC(C)=O)c[nH]c2cc1O,C13H16N2O3,0
cpd03355,CC(C(=O)C(=O)[O-])c1c[nH]c2ccccc12,C12H10NO3,-1
cpd03356,Nc1c(O)cccc1C(=O)CC(=O)C(=O)[O-],C10H8NO5,-1
cpd03357,O=C([O-])C(=O)Cc1c[nH]c2ccc(O)cc12,C11H8NO4,-1
cpd03358,[NH3+]CCC(=O)c1cc(O)ccc1NC=O,C10H13N2O3,1
cpd03359,[NH3+][C@@H](CC(=O)c1cc(O)ccc1NC=O)C(=O)[O-],C11H12N2O5,0
cpd03360,*CC(O)C(O)[C@H]1CNC2=NC(N)=NC(=O)C2=N1,C6H6N4,0
cpd03361,*CC(O)C(O)[C@H]1CNc2nc(N)[nH]c(=O)c2N1,C6H8N4,0
cpd03362,Nc1ccc(O)cc1C(=O)C[C@H]([NH3+])C(=O)[O-],C10H12N2O4,0
cpd03363,Nc1ccc(O)cc1C(=O)CC(=O)C(=O)[O-],C10H8NO5,-1
cpd03364,O=CNc1ccccc1C(=O)[O-],C8H6NO3,-1
cpd03365,O=CCCc1c([O-])cc(C(=O)[O-])[nH]c1=O,C9H7NO5,-2
cpd03366,O=C([O-])CCc1c([O-])cc(C(=O)[O-])[nH]c1=O,C9H6NO6,-3
cpd03367,O=C([O-])C(=O)CCc1c([O-])cc(C(=O)[O-])[nH]c1=O,C10H6NO7,-3
cpd03368,O=C([O-])C(O)Cc1c[nH]c2cc(O)ccc12,C11H10NO4,-1
cpd03369,O=C1CNc2ccccc21,C8H7NO,0
cpd03370,COc1ccc2[nH]cc(CC[NH3+])c2c1,C11H15N2O,1
cpd03371,COc1ccc2[nH]cc(CC(=O)[O-])c2c1,C11H10NO3,-1
cpd03372,O=C([O-])CC[C@H](C(=O)[O-])[C@@H](O)C(=O)[O-],C7H7O7,-3
cpd03373,O=C([O-])c1cc(=O)c2cc(O)ccc2[nH]1,C10H6NO4,-1
cpd03375,CC(C)(COP(=O)([O-])OP(=O)([O-])OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)([O-])[O-])[C@@H](O)C(=O)NCCC(=O)NCCSC(=O)CCO,C24H36N7O18P3S,-4
cpd03377,N#CCC[NH3+],C3H7N2,1
cpd03378,[NH3+]C(CP(=O)([O-])O)C(=O)[O-],C3H7NO5P,-1
cpd03379,Nc1ccn([C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])CC[NH3+])[C@@H](O)[C@H]2O)c(=O)n1,C11H19N4O10P2,-1
cpd03380,C[N+](C)(C)CCP(=O)([O-])OP(=O)([O-])OC[C@H]1O[C@@H](n2ccc(N)nc2=O)[C@H](O)[C@@H]1O,C14H25N4O10P2,-1
cpd03381,[NH3+]C[C@H](O)P(=O)([O-])O,C2H8NO4P,0
cpd03382,C[NH2+]CCP(=O)([O-])O,C3H10NO3P,0
cpd03383,C[NH+](C)CCP(=O)([O-])O,C4H12NO3P,0
cpd03384,*C(=O)N[C@@H](COP(=O)([O-])CC[NH3+])[C@H](O)/C=C/CCCCCCCCCCCCC,C21H42N2O5PR,0
cpd03385,O=C([O-])CP(=O)([O-])O,C2H3O5P,-2
cpd03386,C[C@H](CCC(=O)NCCP(=O)([O-])O)[C@H]1CC[C@H]2[C@@H]3C(O)C[C@@H]4C[C@H](O)CC[C@]4(C)[C@H]3C[C@H](O)[C@@]21C,C26H45NO7P,-1
cpd03387,O=[Se]([O-])[O-],O3Se,-2
cpd03388,Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)([O-])O[Se](=O)(=O)[O-])[C@@H](O)[C@H]1O,C10H12N5O10PSe,-2
cpd03389,[NH3+][C@@H](C[Se-])C(=O)[O-],C3H6NO2Se,-1
cpd03390,C[Se]C[C@H]([NH3+])C(=O)[O-],C4H9NO2Se,0
cpd03391,C[Se+](C)CC[C@H]([NH3+])C(=O)[O-],C6H14NO2Se,1
cpd03392,C[Se+](CC[C@H]([NH3+])C(=O)[O-])C[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1O,C15H23N6O5Se,1
cpd03393,Nc1ncnc2c1ncn2[C@@H]1O[C@H](C[Se]CC[C@H]([NH3+])C(=O)[O-])[C@@H](O)[C@H]1O,C14H20N6O5Se,0
cpd03394,C[Se]CC(NC(=O)CC[C@H]([NH3+])C(=O)[O-])C(=O)[O-],C9H15N2O5Se,-1
cpd03395,Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)([O-])O[Se](=O)(=O)[O-])[C@@H](OP(=O)([O-])[O-])[C@H]1O,C10H11N5O13P2Se,-4
cpd03396,O=[Se](=O)([O-])[O-],O4Se,-2
cpd03397,[NH3+][C@@H](CC[SeH])C(=O)[O-],C4H9NO2Se,0
cpd03398,[NH3+][C@@H](CC[Se]C[C@H]([NH3+])C(=O)[O-])C(=O)[O-],C7H14N2O4Se,0
cpd03401,C[SeH],CH4Se,0
cpd03402,[NH3+][C@@H](C[Se][Se]C[C@H]([NH3+])C(=O)[O-])C(=O)[O-],C6H12N2O4Se2,0
cpd03404,C/C=C/[Se](=O)C[C@H]([NH3+])C(=O)[O-],C6H11NO3Se,0
cpd03405,[NH3+][C@@H](CC[Se][Se]CC[C@H]([NH3+])C(=O)[O-])C(=O)[O-],C8H16N2O4Se2,0
cpd03406,C[Se](=O)CC[C@H]([NH3+])C(=O)[O-],C5H11NO3Se,0
cpd03407,N#CC[C@H](NC(=O)CC[C@H]([NH3+])C(=O)[O-])C(=O)[O-],C9H12N3O5,-1
cpd03408,CC(N)C#N,C3H6N2,0
cpd03409,N#CC(N)CCC(=O)[O-],C5H7N2O2,-1
cpd03410,N#CCCC([NH3+])C(=O)[O-],C5H8N2O2,0
cpd03411,[NH3+]CCCC[NH2+]CCCNC(=O)CNC(=O)[C@H](C[S-])NC(=O)CC[C@H]([NH3+])C(=O)[O-],C17H35N6O5S,1
cpd03412,O=C1[C@@H](O)[C@@H](O[C@]2(CO)O[C@H](CO)[C@@H](O)[C@@H]2O)O[C@H](CO)[C@H]1O,C12H20O11,0
cpd03413,[NH3+][C@@H](CCC(=O)[O-])C(=O)OP(=O)([O-])[O-],C5H8NO7P,-2
cpd03414,O=C([O-])CCc1c2[nH]c(c1CC(=O)[O-])Cc1[nH]c(c(CC(=O)[O-])c1CCC(=O)[O-])Cc1[nH]c(c(CC(=O)[O-])c1CCC(=O)[O-])Cc1[nH]c(c(CC(=O)[O-])c1CCC(=O)[O-])C2,C40H36N4O16,-8
cpd03415,O=C([O-])CCC1=C(CC(=O)[O-])c2cc3nc(cc4[nH]c(cc5[nH]c(cc1n2)c(CC(=O)[O-])c5CCC(=O)[O-])c(CC(=O)[O-])c4CCC(=O)[O-])C(CC(=O)[O-])=C3CCC(=O)[O-],C40H30N4O16,-8
cpd03416,Cc1c2[nH]c(c1CCC(=O)[O-])Cc1[nH]c(c(CCC(=O)[O-])c1C)Cc1[nH]c(c(CCC(=O)[O-])c1C)Cc1[nH]c(c(CCC(=O)[O-])c1C)C2,C36H40N4O8,-4
cpd03417,CC1=C(CCC(=O)[O-])c2cc3nc(cc4[nH]c(cc5[nH]c(cc1n2)c(CCC(=O)[O-])c5C)c(CCC(=O)[O-])c4C)C(CCC(=O)[O-])=C3C,C36H34N4O8,-4
cpd03418,CC1=C(CCC(=O)[O-])c2cc3nc(cc4[nH]c(cc5[nH]c(cc1n2)c(CCC(=O)[O-])c5C)c(C)c4CCC(=O)[O-])C(CCC(=O)[O-])=C3C,C36H34N4O8,-4
cpd03420,CC1C2=N/C(=C\C3=N/C(=C\c4[nH]c(c(CCC(=O)[O-])c4CC(=O)[O-])Cc4[nH]c1c(CC(=O)[O-])c4CCC(=O)[O-])[C@@H](CCC(=O)[O-])[C@]3(C)CC(=O)[O-])[C@@H](CCC(=O)[O-])[C@]2(C)CC(=O)[O-],C43H42N4O16,-8
cpd03421,CC1=C2[N+]3=C(C=C4N5C(=C(C)[C+]6[NH+]7[C@H]([C@H](CC(=O)[O-])[C@@]6(C)CCC(=O)[O-])[C@]6(C)[N+](=C1[C@@H](CCC(=O)[O-])[C@]6(C)CC(=O)[O-])[Co-2]537)[C@@H](CCC(=O)[O-])C4(C)C)[C@@H](CCC(=O)[O-])[C@]2(C)CC(=O)[O-],C45H54CoN4O14,-4
cpd03422,CC1=C2N3C(=CC4=[N+]5[C+](C(C)=C6[NH+]7[C@H]([C@H](CC(N)=O)[C@@]6(C)CCC(=O)NC[C@@H](C)O)[C@]6(C)[N+](=C1[C@@H](CCC(N)=O)[C@]6(C)CC(N)=O)[Co-3]357)[C@@H](CCC(N)=O)C4(C)C)[C@@H](CCC(N)=O)[C@]2(C)CC(N)=O,C48H73CoN11O8,1
cpd03423,Cc1cc2ncn([C@H]3O[C@H](CO)[C@@H](O)[C@H]3O)c2cc1C,C14H18N2O4,0
cpd03424,*[Co+]N1/C2=C(/C)C3=[NH+]/C(=C\C4=[NH+]/C(=C(/C)C5=N[C@@](C)(C1[C@H](CC(N)=O)[C@@]2(C)CCC(=O)NC[C@@H](C)OP(=O)([O-])O[C@@H]1[C@@H](CO)O[C@H](n2cnc6cc(C)c(C)cc62)[C@@H]1O)[C@@](C)(CC(N)=O)[C@@H]5CCC(N)=O)[C@@](C)(CC(N)=O)[C@@H]4CCC(N)=O)C(C)(C)[C@@H]3CCC(N)=O,C62H90CoN13O14PR,2
cpd03425,C[C@@]1(CC(N)=O)C2=N[C@@H](C[C@@]34N=C(/C=C5/[C@@H](CC(=O)[O-])[C@H](CCC(=O)[O-])/C(=C6\C(=O)CC[C@@H]7C6=N[C@H](C2)[C@H]7CC(=O)[O-])N5[Ni+])[C@@H](CCC(=O)[O-])[C@]3(C)CC(=O)N4)[C@H]1CCC(=O)[O-],C42H46N6NiO13,-4
cpd03426,C[C@@]1(CC(=O)[O-])c2cc3[nH]c(cc4[nH]c(cc5nc(cc(n2)[C@H]1CCC(=O)[O-])C(CC(=O)[O-])=C5CCC(=O)[O-])c(CCC(=O)[O-])c4CC(=O)[O-])[C@@](C)(CC(=O)[O-])[C@@H]3CCC(=O)[O-],C42H38N4O16,-8
cpd03427,C/C=C1C(=C\c2[nH]c(/C=C3\N=C(/C=C4\NC(=O)C(CC)=C4C)C(C)=C3CCC(=O)[O-])c(CCC(=O)[O-])c2C)\NC(=O)[C@@H]\1C,C33H36N4O6,-2
cpd03428,C=CC1=C(C)/C(=C/c2[nH]c(Cc3[nH]c(/C=C4\NC(=O)C(C)=C4C=C)c(C)c3CCC(=O)O[C@H]3[C@H](O)[C@@H](C(=O)[O-])O[C@@H](O)[C@@H]3O)c(CCC(=O)O[C@H]3[C@H](O)[C@@H](C(=O)[O-])O[C@@H](O)[C@@H]3O)c2C)NC1=O,C45H50N4O18,-2
cpd03429,CCC1C(=O)NC(Cc2[nH]c(Cc3[nH]c(CC4NC(=O)C(C)C4CC)c(C)c3CCC(=O)[O-])c(CCC(=O)[O-])c2C)C1C,C33H46N4O6,-2
cpd03430,CCC1=C(C)C(Cc2[nH]c(Cc3[nH]c(CC4NC(=O)C(C)=C4CC)c(C)c3CCC(=O)[O-])c(CCC(=O)[O-])c2C)NC1=O,C33H42N4O6,-2
cpd03431,C=CC1=C(C)C(Cc2[nH]c(Cc3[nH]c(CC4NC(=O)C(C)=C4CC)c(C)c3CCC(=O)[O-])c(CCC(=O)[O-])c2C)NC1=O,C33H40N4O6,-2
cpd03432,CCC1C(=O)NC(CC2=N/C(=C/c3[nH]c(CC4NC(=O)C(C)C4CC)c(C)c3CCC(=O)[O-])C(CCC(=O)[O-])=C2C)C1C,C33H44N4O6,-2
cpd03433,CCC1=C(C)C(CC2=N/C(=C/c3[nH]c(CC4NC(=O)C(C)=C4CC)c(C)c3CCC(=O)[O-])C(CCC(=O)[O-])=C2C)NC1=O,C33H40N4O6,-2
cpd03434,C=CC1=C(C)C(CC2=N/C(=C/c3[nH]c(CC4NC(=O)C(C)=C4CC)c(C)c3CCC(=O)[O-])C(CCC(=O)[O-])=C2C)NC1=O,C33H38N4O6,-2
cpd03435,C=Cc1c2[nH]c(c1C)/C=C1\N=C(C3=C(C(=O)OC)C(=O)c4c3[nH]c(c4C)/C=c3\[nH]/c(c(C)c3CC)=C\2)[C@@H](CCC(=O)OC/C=C(\C)CCC[C@H](C)CCC[C@H](C)CCCC(C)C)[C@@H]1C,C55H74N4O5,0
cpd03436,CC[C@H]1c2cc3[nH]c4c(c3C)C(=O)[C@H](C(=O)OC)c4c3nc(cc4[nH]c(cc(n2)[C@@H]1C)c(C(C)=O)c4C)[C@@H](C)[C@@H]3CCC(=O)OCC/C=C(\C)CCC[C@H](C)CCC[C@H](C)CCCC(C)C,C56H78N4O6,0
cpd03437,CC(C)=CCC/C(C)=C/CC/C(C)=C/CC/C(C)=C/CC/C(C)=C/CC/C(C)=C/Cc1ccccc1O,C36H54O,0
cpd03438,CC(C)=CCC/C(C)=C/CC/C(C)=C/CC/C(C)=C/CC/C(C)=C/CC/C(C)=C/Cc1cccc(O)c1O,C36H54O2,0
cpd03439,COc1cccc(C/C=C(\C)CC/C=C(\C)CC/C=C(\C)CC/C=C(\C)CC/C=C(\C)CCC=C(C)C)c1O,C37H56O2,0
cpd03440,COC1=CC(=O)C=C(C/C=C(\C)CC/C=C(\C)CC/C=C(\C)CC/C=C(\C)CC/C=C(\C)CCC=C(C)C)C1=O,C37H54O3,0
cpd03441,COC1=CC(=O)C(C)=C(C/C=C(\C)CC/C=C(\C)CC/C=C(\C)CC/C=C(\C)CC/C=C(\C)CCC=C(C)C)C1=O,C38H56O3,0
cpd03442,COC1=C([O-])C(=O)C(C)=C(C/C=C(\C)CC/C=C(\C)CC/C=C(\C)CC/C=C(\C)CC/C=C(\C)CCC=C(C)C)C1=O,C38H55O4,-1
cpd03443,CC(C)=CCC/C(C)=C/CC/C(C)=C/CC/C(C)=C/CC/C(C)=C/CC/C(C)=C/CC/C(C)=C/CC/C(C)=C/Cc1cc(C(=O)[O-])ccc1O,C47H69O3,-1
cpd03444,CC(C)=CCC/C(C)=C/CC/C(C)=C/CC/C(C)=C/CC/C(C)=C/CC/C(C)=C/CC/C(C)=C/CC/C(C)=C/Cc1ccccc1O,C46H70O,0
cpd03445,CC(C)=CCC/C(C)=C/CC/C(C)=C/CC/C(C)=C/CC/C(C)=C/CC/C(C)=C/CC/C(C)=C/CC/C(C)=C/Cc1cccc(O)c1O,C46H70O2,0
cpd03446,COc1cccc(C/C=C(\C)CC/C=C(\C)CC/C=C(\C)CC/C=C(\C)CC/C=C(\C)CC/C=C(\C)CC/C=C(\C)CCC=C(C)C)c1O,C47H72O2,0
cpd03447,COC1=CC(=O)C=C(C/C=C(\C)CC/C=C(\C)CC/C=C(\C)CC/C=C(\C)CC/C=C(\C)CC/C=C(\C)CC/C=C(\C)CCC=C(C)C)C1=O,C47H70O3,0
cpd03448,COC1=CC(=O)C(C)=C(C/C=C(\C)CC/C=C(\C)CC/C=C(\C)CC/C=C(\C)CC/C=C(\C)CC/C=C(\C)CC/C=C(\C)CCC=C(C)C)C1=O,C48H72O3,0
cpd03449,COc1c(O)c(O)c(C)c(C/C=C(\C)CC/C=C(\C)CC/C=C(\C)CC/C=C(\C)CC/C=C(\C)CC/C=C(\C)CC/C=C(\C)CCC=C(C)C)c1O,C48H74O4,0
cpd03451,O=C([O-])CCC(=O)C1=CC=C[C@@H](O)[C@@H]1C(=O)[O-],C11H10O6,-2
cpd03452,Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)([O-])OC(=O)[C@@H](N)CO)[C@@H](O)[C@H]1O,C13H18N6O9P,-1
cpd03453,O=C(N[C@H]1COC(=O)[C@@H](NC(=O)c2cccc(O)c2O)COC(=O)[C@@H](NC(=O)c2cccc(O)c2O)COC1=O)c1cccc(O)c1O,C30H27N3O15,0
cpd03454,Nc1ccn([C@@H]2O[C@H](CO)[C@@H](OP(=O)([O-])[O-])[C@H]2O)c(=O)n1,C9H12N3O8P,-2
cpd03455,O=C([O-])[C@@H](O)CS,C3H5O3S,-1
cpd03457,CC(=O)CCC([NH3+])C(=O)[O-],C6H11NO3,0
cpd03458,Cn1cnc(CC=O)c1,C6H8N2O,0
cpd03459,Cn1cnc(CC(=O)[O-])c1,C6H7N2O2,-1
cpd03460,NC(=O)N[C@@H](CCC(=O)[O-])C(=O)[O-],C6H8N2O5,-2
cpd03461,COc1cccc2c(=O)cc(C(=O)[O-])[nH]c12,C11H8NO4,-1
cpd03462,COc1cccc(C(=O)[O-])c1N,C8H8NO3,-1
cpd03463,O=C([O-])CNC(=O)Cc1c[nH]c2ccc(O)cc12,C12H11N2O4,-1
cpd03464,CC1(O)C(=O)Nc2ccccc21,C9H9NO2,0
cpd03465,O=CNc1ccccc1C(=O)CC(=O)[O-],C10H8NO4,-1
